metal,production_route,year,region,application,energy_mix,transport_mode,transport_distance_km,gwp_kg_co2_per_kg,energy_mj_per_kg,global_recycling_rate_pct,recycled_content_pct,water_use_l_per_kg,so2_kg_per_kg,eol_recovery_pct,typical_lifespan_years,reuse_potential_score,unit_price_usd_per_kg,circularity_index,material_efficiency_score,end_of_life_scenario,carbon_intensity_category,transport_gwp_kg_co2_per_kg,route_type,life_cycle_stage,upstream_gwp_kg_co2,downstream_gwp_kg_co2,pathway_type,circular_flow_type,emission_reduction_vs_primary_pct,benchmark_gwp_for_metal,process_temperature_celsius,batch_size_tonnes,facility_age_years,waste_generated_kg_per_kg,co2_capture_used,acidification_potential,eutrophication_potential,human_toxicity_score,abiotic_depletion_score,data_completeness_score,recommended_action
Magnesium,Secondary - Wrought Recycling,2017,Middle East,Automotive (Lightweighting),Renewable Grid,Road,489.6,0.2497,29.064,44.1,22.25,79.53,0.0123,47.86,18.6,3,3.27,36.49,0.729,Landfill,Low,0.12041,Secondary,Processing,0.1517,0.098,Hybrid,Linear,98.22,14.0,489,351.6,30,0.6236,No,0.01552,0.03941,1.563,0.09921,0.97,Implement end-of-life collection and recycling programme
Platinum,Primary Mining (Russia),2021,Russia,Catalysts (Auto),Mixed Grid (EU),Rail,540.0,9542.1677,245443.31,68.01,2.6,239740.42,7.8262,65.76,21.8,4,31887.62,47.05,0.614,Incineration,Very High,0.02812,Primary,Use,5467.2352,4074.9325,Conventional,Linear,24.86,12700,860,324.0,18,7.0298,No,6.49433,0.03965,1.488,0.12365,0.96,Increase recycled content in feedstock
Lithium,Hard Rock Mining (Spodumene),2012,Middle East,Grid Storage,Coal Grid,Air Freight,2087.1,15.4021,150.989,4.71,8.98,2689.44,0.017,54.03,7.4,1,19.5,20.4,0.858,Remanufacturing,High,0.28186,Primary,Use,8.8542,6.5479,Hybrid,Closed Loop,-92.53,8.0,1022,350.0,18,4.264,No,0.01732,0.02994,2.2237,0.11021,0.82,Switch to renewable energy grid
Nickel,Primary - Laterite (Smelting),2022,DRC,Superalloys,Mixed Grid (China),Pipeline,267.6,9.1611,109.92,66.11,3.75,344.66,0.0208,59.95,19.3,4,13.52,44.87,0.871,Reuse,Medium,0.01504,Primary,Extraction,5.2059,3.9552,Hybrid,Closed Loop,29.53,13.0,1578,293.8,2,8.4964,Partial,0.02518,0.02885,1.908,0.02636,0.78,Increase recycled content in feedstock
Germanium,Secondary - IR Optics Recycling,2022,Central Asia,Fiber Optics,Natural Gas Grid,Pipeline,586.1,62.0737,2716.89,33.71,14.76,1042.69,0.2227,38.12,18.3,2,1117.22,27.69,0.944,Remanufacturing,High,0.12082,Secondary,Use,45.5133,16.5604,Circular,Closed Loop,95.15,1280,385,498.5,28,5.403,No,0.28606,0.02355,1.0215,0.04823,0.6,Maintain current circular practices; explore renewable energy
Indium,Secondary - Solar Panel Recycling,2014,Central Asia,Semiconductors,Nuclear Grid,Sea Freight,7053.7,9.8575,278.832,31.1,26.26,213.97,0.0515,32.58,11.4,3,261.86,28.16,0.966,Incineration,Medium,1.22555,Secondary,Processing,6.0718,3.7857,Hybrid,Linear,94.1,167,707,144.5,26,6.919,Yes,0.04214,0.00449,0.6317,0.01748,0.9,Transition to closed-loop recycling pathway
Lithium,Hard Rock Mining (Spodumene),2011,Indonesia,Consumer Electronics,Mixed Grid (India),Air Freight,2449.1,10.8217,136.954,2.74,9.93,3316.11,0.013,21.84,14.1,3,67.81,11.75,0.636,Closed Loop Recycling,High,0.71784,Primary,End-of-Life,7.7374,3.0843,Hybrid,Closed Loop,-35.27,8.0,402,329.0,35,3.9376,No,0.01162,0.01815,1.8914,0.09385,0.89,Optimise production process efficiency
Steel,Blast Furnace - BOF,2016,Philippines,Automotive,Renewable Grid,Rail,1289.9,0.5849,18.507,91.13,5.82,55.7,0.004,83.05,63.8,4,1.09,60.97,0.862,Incineration,Low,0.30741,Primary,Processing,0.3529,0.232,Conventional,Linear,69.22,1.9,668,463.9,29,7.4896,No,0.00344,0.04866,1.5226,0.03597,0.62,Increase recycled content in feedstock
Lithium,Hard Rock Mining (Spodumene),2014,South Africa,Consumer Electronics,Mixed Grid (Global Avg),Combined (Road+Sea),4568.3,10.1623,135.943,3.29,5.25,3950.64,0.0157,50.52,8.1,2,20.22,18.86,0.663,Remanufacturing,High,1.00393,Primary,End-of-Life,5.6171,4.5452,Hybrid,Closed Loop,-27.03,8.0,1235,47.1,8,3.9331,No,0.01764,0.00778,2.3317,0.04385,0.87,Increase recycled content in feedstock
Lithium,Secondary - Battery Recycling,2017,Middle East,Consumer Electronics,Hydro-dominated Grid,Sea Freight,6833.5,1.2784,41.036,2.29,1.98,377.29,0.0083,54.81,13.5,1,40.22,18.39,0.727,Reuse,Low,0.34508,Secondary,Use,0.9165,0.3619,Circular,Closed Loop,84.02,8.0,683,122.2,36,1.2466,No,0.01047,0.02546,2.1984,0.12962,0.67,Maintain current circular practices; explore renewable energy
Copper,Primary - Sulphide Ore,2017,Southeast Asia,EV Motors,Mixed Grid (EU),Pipeline,709.1,3.5506,82.356,65.14,5.1,300.05,0.0033,58.68,26.5,4,7.52,44.42,0.661,Remanufacturing,Medium,0.15603,Primary,Use,2.1942,1.3564,Hybrid,Closed Loop,-10.96,3.2,1439,134.0,1,2.4185,No,0.00402,0.02904,1.6502,0.1298,0.75,Increase recycled content in feedstock
Zinc,Primary - Imperial Smelting,2021,Indonesia,Die Casting,Renewable Grid,Pipeline,174.2,0.436,56.29,76.47,3.7,171.89,0.0079,74.63,22.7,5,2.71,53.64,0.933,Open Loop Recycling,Low,0.01134,Primary,Use,0.2699,0.1661,Conventional,Open Loop,85.94,3.1,1530,381.6,25,3.8813,No,0.00975,0.04904,0.5978,0.05751,0.94,Increase recycled content in feedstock
Lithium,Clay Mining,2019,Indonesia,Consumer Electronics,Nuclear Grid,Sea Freight,4727.4,3.794,67.046,1.02,2.34,3975.26,0.0212,54.86,8.1,2,68.57,18.78,0.946,Open Loop Recycling,Medium,1.21825,Primary,Use,2.1198,1.6742,Conventional,Open Loop,52.57,8.0,1368,352.8,25,3.2939,Partial,0.02536,0.03264,0.3811,0.14473,0.61,Increase recycled content in feedstock
Tin,Secondary - Tinplate Recycling,2015,Indonesia,Tinplate,Mixed Grid (India),Combined (Road+Sea),3074.6,2.3634,40.131,74.15,31.99,76.73,0.0042,66.03,18.9,4,28.53,55.16,0.67,Open Loop Recycling,Medium,0.38444,Secondary,End-of-Life,1.4568,0.9066,Hybrid,Open Loop,85.23,16.0,302,437.2,29,0.8656,No,0.00339,0.00729,2.1775,0.1455,0.58,Reduce material losses in processing
Manganese,Primary - Electrolytic,2018,Kazakhstan,EV Batteries,Mixed Grid (EU),Sea Freight,4934.9,1.8068,18.683,53.25,2.36,91.66,0.0053,53.62,11.3,3,1.9,37.44,0.875,Reuse,Low,1.00255,Primary,Manufacturing,1.1161,0.6907,Hybrid,Closed Loop,-38.98,1.3,1214,325.1,22,7.2479,Yes,0.00525,0.0159,1.7971,0.11393,0.94,Optimise production process efficiency
Platinum,Secondary - Autocatalyst Recycling,2012,Zambia,Catalysts (Auto),Natural Gas Grid,Sea Freight,4375.1,674.4167,29747.248,69.96,24.43,5115.11,0.8952,64.38,43.2,4,32938.08,51.69,0.551,Open Loop Recycling,Very High,0.93931,Secondary,Extraction,454.2142,220.2025,Hybrid,Open Loop,94.69,12700,440,315.8,19,8.4782,Partial,0.75661,0.04892,1.9012,0.10561,0.6,Reduce material losses in processing
Gold,Open Pit Mining,2021,India,Electronics,Hydro-dominated Grid,Pipeline,832.8,5233.9276,261059.205,27.26,9.9,187177.31,0.8377,30.86,66.2,5,57645.65,24.53,0.64,Closed Loop Recycling,Very High,0.2108,Primary,Processing,3605.1305,1628.7971,Hybrid,Closed Loop,67.29,16000,459,23.5,4,2.5078,No,0.85055,0.01229,1.0307,0.1023,0.63,Increase recycled content in feedstock
Silver,Secondary - Photography,2020,Middle East,Solar Panels,Nuclear Grid,Air Freight,4690.3,6.6719,274.776,75.68,35.29,419.77,0.0698,62.49,18.1,3,842.22,54.54,0.614,Remanufacturing,Medium,1.36479,Secondary,Processing,3.7749,2.897,Circular,Closed Loop,93.71,106,591,310.0,16,4.2402,Yes,0.06083,0.02311,0.6357,0.03837,0.55,Reduce material losses in processing
Manganese,Primary - Ore Smelting,2024,India,Fertilizers,Coal Grid,Sea Freight,7546.1,1.6739,24.049,53.06,7.85,100.42,0.006,45.91,10.9,3,1.87,36.16,0.596,Reuse,Low,0.60649,Primary,Use,1.2224,0.4515,Hybrid,Closed Loop,-28.76,1.3,1519,79.4,29,8.0356,Yes,0.0057,0.04811,1.7261,0.06858,0.69,Increase recycled content in feedstock
Rare Earths,Primary - Bastnasite (China),2020,India,Permanent Magnets,Renewable Grid,Pipeline,260.9,3.1643,485.401,1.24,9.79,8124.6,0.0814,19.05,12.0,3,111.23,10.36,0.829,Closed Loop Recycling,Medium,0.01912,Primary,Use,2.2804,0.8839,Hybrid,Closed Loop,89.45,30.0,618,119.0,37,3.064,No,0.10552,0.01483,2.4449,0.09877,0.67,Increase recycled content in feedstock
Cobalt,Primary - Standalone Mining,2016,Indonesia,EV Batteries,Mixed Grid (Global Avg),Pipeline,296.0,10.8705,98.223,61.82,5.13,287.95,0.012,71.06,10.9,3,44.27,46.23,0.631,Landfill,High,0.04505,Primary,End-of-Life,7.8595,3.011,Conventional,Linear,-27.89,8.5,500,455.4,32,7.0825,No,0.01425,0.01158,2.005,0.03293,0.64,Increase recycled content in feedstock
Chromium,Primary - Ferrochrome (Kazakhstan),2021,Chile,Surface Coating,Coal Grid,Combined (Road+Sea),2864.2,11.3942,139.582,28.05,0.19,178.59,0.0335,37.59,34.9,3,10.71,23.38,0.589,Landfill,High,0.14462,Primary,Manufacturing,7.8113,3.5829,Conventional,Linear,8.85,12.5,680,314.3,41,5.501,No,0.04001,0.00176,0.9128,0.0198,0.96,Increase recycled content in feedstock
Indium,Secondary - Solar Panel Recycling,2010,Middle East,Flat Panel Displays (ITO),Mixed Grid (India),Sea Freight,2383.2,26.2443,340.739,34.22,26.84,139.44,0.0253,37.47,16.5,2,168.27,30.09,0.627,Remanufacturing,High,0.67359,Secondary,Manufacturing,18.3578,7.8865,Circular,Closed Loop,84.28,167,379,100.8,35,7.4524,No,0.02696,0.04568,2.0764,0.03862,0.92,Reduce material losses in processing
Titanium,Secondary - Industrial Scrap,2012,South Africa,Aerospace,Mixed Grid (EU),Sea Freight,4680.4,6.2323,80.608,28.55,10.34,82.58,0.0082,27.32,28.7,3,10.11,22.51,0.63,Landfill,Medium,1.2572,Secondary,Use,4.6336,1.5987,Hybrid,Linear,82.19,35,502,373.4,22,6.8399,No,0.01051,0.00712,2.4163,0.12904,0.88,Implement end-of-life collection and recycling programme
Lead,Secondary - Battery Recycling,2010,Brazil,Ammunition,Hydro-dominated Grid,Rail,1980.6,0.5307,9.175,98.47,77.89,58.18,0.0036,98.85,22.5,5,2.66,83.45,0.727,Remanufacturing,Low,0.45918,Secondary,Use,0.3946,0.1361,Circular,Closed Loop,68.78,1.7,770,183.2,26,0.138,Yes,0.0031,0.01849,1.8728,0.0394,0.72,Maintain current circular practices; explore renewable energy
Indium,Secondary - Solar Panel Recycling,2012,Philippines,Solar Cells (CIGS),Natural Gas Grid,Rail,1091.7,34.2396,265.998,36.93,20.32,228.36,0.0577,35.49,10.5,3,219.22,29.89,0.939,Remanufacturing,High,0.2054,Secondary,Manufacturing,19.5737,14.6659,Circular,Closed Loop,79.5,167,439,236.0,40,7.5183,Yes,0.05562,0.03054,1.6195,0.09535,0.76,Maintain current circular practices; explore renewable energy
Rare Earths,Primary - Monazite,2019,Canada,EV Motors,Renewable Grid,Combined (Road+Sea),5512.9,3.8786,500.013,1.39,1.15,5379.42,0.0898,18.96,11.7,2,73.0,7.9,0.849,Reuse,Medium,1.63862,Primary,Manufacturing,2.6369,1.2417,Hybrid,Closed Loop,87.07,30.0,638,70.3,3,2.601,No,0.07705,0.01182,1.3443,0.05836,0.72,Increase recycled content in feedstock
Lithium,Brine Extraction,2021,Australia,Medical Devices,Mixed Grid (China),Rail,667.0,3.8003,107.999,1.93,0.2,3443.04,0.0059,51.0,9.5,3,25.4,18.26,0.683,Closed Loop Recycling,Medium,0.16914,Primary,End-of-Life,2.4087,1.3916,Hybrid,Closed Loop,52.5,8.0,716,442.8,42,0.8597,No,0.00654,0.04696,0.7001,0.10357,0.65,Increase recycled content in feedstock
Tin,Primary - Alluvial Mining,2021,Russia,Tinplate,Mixed Grid (EU),Rail,853.9,13.4609,213.654,74.95,4.68,331.39,0.0282,63.0,13.4,4,27.73,49.07,0.891,Urban Mining,High,0.09356,Primary,Use,9.9626,3.4983,Conventional,Open Loop,15.87,16.0,1142,50.1,44,3.135,Partial,0.02762,0.01997,0.4753,0.01841,0.93,Increase recycled content in feedstock
Lithium,Clay Mining,2015,Chile,EV Batteries,Mixed Grid (EU),Road,51.3,3.8597,81.534,2.05,0.29,3502.91,0.0245,35.12,6.7,2,59.02,12.81,0.979,Landfill,Medium,0.01006,Primary,Use,2.1936,1.6661,Conventional,Linear,51.75,8.0,834,321.0,39,8.2549,No,0.02924,0.01225,0.3157,0.08473,0.58,Increase recycled content in feedstock
Rare Earths,Primary - Monazite,2016,Indonesia,Permanent Magnets,Renewable Grid,Road,368.5,4.2419,570.202,2.76,1.37,9998.89,0.1099,12.34,14.1,1,113.46,5.69,0.856,Open Loop Recycling,Medium,0.08188,Primary,End-of-Life,2.5088,1.7331,Conventional,Open Loop,85.86,30.0,842,406.6,15,2.8062,No,0.13126,0.02984,0.6939,0.14761,0.99,Increase recycled content in feedstock
Germanium,Secondary - IR Optics Recycling,2024,Brazil,Solar Cells,Mixed Grid (Global Avg),Pipeline,793.9,114.0905,1583.279,33.86,11.17,1364.84,0.1725,26.27,11.9,2,1244.2,23.47,0.672,Open Loop Recycling,Very High,0.20471,Secondary,End-of-Life,68.4692,45.6213,Hybrid,Open Loop,91.09,1280,378,55.4,2,1.1377,No,0.20614,0.01197,0.8101,0.02622,0.57,Reduce material losses in processing
Indium,Primary - Lead-Zinc Byproduct,2020,Canada,Solar Cells (CIGS),Coal Grid,Air Freight,3956.9,204.2033,2671.28,33.58,0.9,915.46,0.2,38.19,14.1,3,271.57,25.64,0.59,Open Loop Recycling,Very High,0.78836,Primary,Use,133.7975,70.4058,Conventional,Open Loop,-22.28,167,530,238.4,24,4.3723,No,0.2052,0.01116,1.5382,0.10911,0.96,Increase recycled content in feedstock
Lithium,Secondary - Battery Recycling,2019,Peru,Consumer Electronics,Mixed Grid (India),Rail,1190.3,4.6198,36.516,3.43,1.8,243.45,0.0067,46.2,14.0,1,25.49,16.17,0.693,Incineration,Medium,0.13043,Secondary,End-of-Life,2.8196,1.8002,Hybrid,Linear,42.25,8.0,858,482.0,4,8.488,No,0.00679,0.00549,1.7813,0.06659,0.95,Transition to closed-loop recycling pathway
Silver,Primary Mining (Copper Byproduct),2022,Peru,Medical,Mixed Grid (Global Avg),Sea Freight,7561.2,71.0511,1761.406,71.97,6.09,2265.79,0.399,68.15,39.3,3,816.47,49.1,0.615,Reuse,High,0.94555,Primary,Manufacturing,47.7221,23.329,Hybrid,Closed Loop,32.97,106,534,63.5,40,5.3885,Yes,0.46127,0.01911,1.4939,0.04431,0.78,Increase recycled content in feedstock
Zinc,Primary - Roast-Leach-Electrowin,2018,Canada,Die Casting,Hydro-dominated Grid,Road,313.1,1.0341,43.339,72.15,6.08,130.02,0.0069,78.17,15.5,5,2.72,53.67,0.953,Urban Mining,Low,0.0921,Primary,Use,0.5893,0.4448,Conventional,Open Loop,66.64,3.1,634,426.5,42,7.4629,Yes,0.00801,0.01083,1.1294,0.03435,0.7,Increase recycled content in feedstock
Steel,Direct Reduced Iron (DRI),2019,Australia,Construction,Hydro-dominated Grid,Rail,1667.4,1.2161,21.97,90.16,9.75,53.29,0.0089,90.83,47.4,5,0.8,64.5,0.877,Reuse,Low,0.41863,Primary,Use,0.7658,0.4503,Hybrid,Closed Loop,35.99,1.9,594,156.6,21,5.6601,No,0.01136,0.03437,1.1862,0.01377,0.59,Increase recycled content in feedstock
Steel,Blast Furnace - BOF,2014,Middle East,Construction,Coal Grid,Sea Freight,7763.6,4.4698,26.965,87.2,1.5,20.09,0.0024,91.99,68.7,5,0.72,62.17,0.727,Open Loop Recycling,Medium,1.89482,Primary,Use,2.5447,1.9251,Conventional,Open Loop,-135.25,1.9,1163,406.0,36,0.5286,Yes,0.00259,0.03353,1.0276,0.13105,0.97,Switch to renewable energy grid
Magnesium,Secondary - Wrought Recycling,2016,Philippines,Aerospace,Coal Grid,Air Freight,1879.2,2.1707,23.794,47.17,30.24,117.02,0.0096,41.95,16.7,2,3.35,36.64,0.634,Landfill,Medium,0.39218,Secondary,Use,1.5708,0.5999,Hybrid,Linear,84.5,14.0,252,484.2,39,2.6696,No,0.01045,0.01072,1.6422,0.03371,0.6,Implement end-of-life collection and recycling programme
Platinum,Primary Mining (South Africa),2019,Global Average,Catalysts (Auto),Mixed Grid (EU),Road,430.6,10420.3838,229587.938,65.54,3.51,239225.4,5.6564,67.12,27.2,4,33014.5,46.78,0.758,Urban Mining,Very High,0.1076,Primary,End-of-Life,6497.2365,3923.1473,Conventional,Open Loop,17.95,12700,970,287.3,28,7.1869,Yes,6.26043,0.03217,0.0666,0.13937,0.92,Increase recycled content in feedstock
Nickel,Primary - Sulphide Ore,2016,Peru,Stainless Steel,Mixed Grid (EU),Rail,532.6,10.0811,163.406,70.7,4.17,465.63,0.025,69.47,10.6,4,19.01,49.42,0.85,Incineration,High,0.06555,Primary,Manufacturing,5.603,4.4781,Conventional,Linear,22.45,13.0,959,351.5,20,7.8346,No,0.02008,0.04351,1.4162,0.06018,0.61,Increase recycled content in feedstock
Chromium,Secondary - Stainless Steel Scrap,2018,Southeast Asia,Superalloys,Mixed Grid (China),Rail,1900.0,2.085,13.682,30.76,15.35,46.37,0.0053,23.16,31.2,2,8.07,22.28,0.776,Urban Mining,Medium,0.11631,Secondary,Extraction,1.185,0.9,Hybrid,Open Loop,83.32,12.5,743,108.0,27,3.8669,No,0.00522,0.03611,1.9423,0.08518,0.59,Maintain current circular practices; explore renewable energy
Cobalt,Secondary - Battery Recycling,2017,Mexico,Superalloys,Mixed Grid (EU),Air Freight,4584.4,1.3932,22.104,70.23,25.35,120.37,0.0044,71.28,18.6,4,56.02,54.03,0.587,Incineration,Low,0.34614,Secondary,Extraction,0.8096,0.5836,Hybrid,Linear,83.61,8.5,832,25.4,6,2.3274,Partial,0.00445,0.03039,1.036,0.03241,0.78,Transition to closed-loop recycling pathway
Rare Earths,Secondary - Magnet Recycling,2018,Chile,Wind Turbines,Mixed Grid (EU),Air Freight,1849.1,3.1901,65.299,0.87,0.4,695.15,0.0063,16.58,10.1,2,117.65,6.86,0.844,Landfill,Medium,0.20998,Secondary,Manufacturing,2.0288,1.1613,Hybrid,Linear,89.37,30.0,490,339.3,38,4.1466,Partial,0.00601,0.0111,2.4611,0.00831,0.64,Implement end-of-life collection and recycling programme
Rare Earths,Primary - Ion Adsorption Clay,2019,Europe,Phosphors,Mixed Grid (Global Avg),Road,186.6,26.2734,311.919,2.27,7.39,6195.07,0.0945,19.77,15.1,1,35.3,8.95,0.861,Remanufacturing,High,0.04635,Primary,Processing,18.4825,7.7909,Hybrid,Closed Loop,12.42,30.0,923,145.1,8,0.0855,Partial,0.09595,0.00655,1.3319,0.03459,0.8,Increase recycled content in feedstock
Titanium,Secondary - Aerospace Scrap,2024,Indonesia,Marine,Mixed Grid (India),Combined (Road+Sea),4595.1,7.7331,74.887,23.47,9.11,106.52,0.0093,23.36,15.4,3,10.17,19.3,0.939,Open Loop Recycling,Medium,0.76362,Secondary,Manufacturing,4.3647,3.3684,Hybrid,Open Loop,77.91,35,243,218.4,30,7.8315,No,0.01012,0.02871,1.774,0.06271,0.6,Maintain current circular practices; explore renewable energy
Rare Earths,Primary - Ion Adsorption Clay,2017,Canada,Wind Turbines,Mixed Grid (Global Avg),Rail,1917.1,29.6749,306.695,1.78,2.65,9322.53,0.1225,15.28,15.3,1,73.79,6.49,0.637,Urban Mining,High,0.13147,Primary,Extraction,22.0556,7.6193,Conventional,Open Loop,1.08,30.0,751,400.8,40,3.9216,Partial,0.15434,0.0045,2.1114,0.03657,0.81,Increase recycled content in feedstock
Aluminium,Primary - Bauxite Mining,2012,Australia,Electrical,Mixed Grid (EU),Sea Freight,7352.6,9.8526,204.893,70.63,3.03,1734.29,0.0428,81.51,36.8,5,2.51,53.53,0.915,Reuse,Medium,1.74228,Primary,End-of-Life,5.5739,4.2787,Hybrid,Closed Loop,14.33,11.5,1035,373.0,15,2.8444,No,0.03587,0.0317,1.327,0.02917,0.9,Increase recycled content in feedstock
Copper,Primary - Sulphide Ore,2021,Central Asia,Electrical Wiring,Coal Grid,Rail,776.0,3.1455,66.298,62.76,8.39,363.56,0.0042,62.93,26.6,3,8.14,44.77,0.952,Open Loop Recycling,Medium,0.21094,Primary,Manufacturing,2.1876,0.9579,Conventional,Open Loop,1.7,3.2,702,118.5,10,2.1906,No,0.00463,0.03803,1.6391,0.02665,0.9,Increase recycled content in feedstock
Steel,EAF - Green Electricity,2015,Russia,Appliances,Nuclear Grid,Pipeline,906.0,0.7129,19.24,84.18,1.16,59.59,0.0061,86.84,70.2,5,0.58,59.5,0.692,Urban Mining,Low,0.17315,Primary,Use,0.4582,0.2547,Conventional,Open Loop,62.48,1.9,1554,380.1,29,5.796,Yes,0.00684,0.04933,0.8087,0.14565,0.69,Increase recycled content in feedstock
Zinc,Primary - Roast-Leach-Electrowin,2022,Brazil,Galvanizing,Nuclear Grid,Combined (Road+Sea),2834.5,0.8035,55.265,81.94,7.17,124.79,0.0149,82.73,19.4,3,2.9,57.18,0.853,Landfill,Low,0.2434,Primary,Use,0.4529,0.3506,Conventional,Linear,74.08,3.1,1305,315.9,18,5.0352,No,0.0157,0.01559,1.1303,0.00863,0.92,Increase recycled content in feedstock
Magnesium,Secondary - Die-Cast Recycling,2011,Russia,Electronics,Mixed Grid (China),Rail,1853.8,2.6017,19.172,48.07,27.15,106.68,0.0123,45.12,15.4,3,2.44,38.04,0.772,Remanufacturing,Medium,0.12172,Secondary,Extraction,1.7664,0.8353,Circular,Closed Loop,81.42,14.0,292,307.7,33,3.2804,Yes,0.01325,0.03961,2.2398,0.06752,0.91,Maintain current circular practices; explore renewable energy
Indium,Secondary - Solar Panel Recycling,2010,Canada,Solar Cells (CIGS),Coal Grid,Pipeline,429.1,33.8265,420.616,35.23,25.68,174.5,0.0507,35.65,15.5,2,255.77,29.66,0.696,Remanufacturing,High,0.07211,Secondary,Processing,20.7798,13.0467,Circular,Closed Loop,79.74,167,687,250.9,4,3.8404,No,0.06546,0.00431,1.6157,0.00597,0.87,Reduce material losses in processing
Steel,EAF - Green Electricity,2023,DRC,Automotive,Mixed Grid (India),Sea Freight,4984.3,3.2389,29.54,89.04,9.69,21.61,0.0081,89.24,38.3,4,0.65,62.87,0.89,Incineration,Medium,0.8494,Primary,Use,2.1209,1.118,Conventional,Linear,-70.47,1.9,725,182.3,19,3.3053,No,0.00923,0.00271,1.5776,0.05026,0.7,Optimise production process efficiency
Lithium,Brine Extraction,2016,Indonesia,Grid Storage,Mixed Grid (India),Air Freight,1968.2,16.1497,51.817,3.58,5.4,3850.45,0.0054,25.13,14.6,1,15.9,10.62,0.824,Closed Loop Recycling,High,0.26877,Primary,End-of-Life,11.0735,5.0762,Hybrid,Closed Loop,-101.87,8.0,981,126.4,43,8.1982,Yes,0.00668,0.01673,1.4573,0.0213,0.71,Optimise production process efficiency
Magnesium,Pidgeon Process (Coal),2022,South Africa,Sports Equipment,Mixed Grid (Global Avg),Sea Freight,5157.2,14.212,139.059,43.55,7.82,252.11,0.062,47.3,16.7,2,2.92,32.5,0.813,Closed Loop Recycling,High,1.12896,Primary,Use,8.1831,6.0289,Hybrid,Closed Loop,-1.51,14.0,573,155.1,25,5.4768,No,0.07481,0.03354,2.0726,0.11084,0.86,Increase recycled content in feedstock
Cobalt,Primary - DRC Mining (Byproduct),2012,Zambia,Magnets,Mixed Grid (Global Avg),Air Freight,1545.6,11.8047,121.176,74.47,0.29,415.52,0.0209,69.94,11.6,3,50.48,49.35,0.97,Remanufacturing,High,0.45224,Primary,End-of-Life,6.7132,5.0915,Hybrid,Closed Loop,-38.88,8.5,1267,254.5,2,3.0948,No,0.02666,0.01715,1.9156,0.02888,1.0,Optimise production process efficiency
Platinum,Primary Mining (South Africa),2010,India,Catalysts (Auto),Renewable Grid,Sea Freight,2572.8,1471.9861,195491.436,69.02,6.32,219993.27,6.6168,73.29,31.8,4,29676.49,50.41,0.665,Open Loop Recycling,Very High,0.18852,Primary,Processing,832.3095,639.6766,Conventional,Open Loop,88.41,12700,607,254.1,35,7.1018,Yes,5.41832,0.0169,1.916,0.01974,0.72,Increase recycled content in feedstock
Zinc,Primary - Imperial Smelting,2019,Peru,Galvanizing,Renewable Grid,Sea Freight,4928.8,1.4059,44.793,79.72,0.07,139.19,0.0113,79.2,22.4,5,3.45,55.43,0.773,Open Loop Recycling,Low,1.14197,Primary,Processing,0.8241,0.5818,Conventional,Open Loop,54.65,3.1,739,360.7,3,3.5041,Partial,0.01311,0.04848,1.5269,0.11288,0.9,Increase recycled content in feedstock
Tin,Primary - Hard Rock Mining,2014,DRC,Tinplate,Hydro-dominated Grid,Combined (Road+Sea),4355.0,4.1768,241.852,71.94,0.66,537.77,0.0509,61.56,15.2,3,25.98,46.03,0.736,Landfill,Medium,0.30691,Primary,Processing,2.7433,1.4335,Conventional,Linear,73.89,16.0,1033,482.8,31,7.6857,No,0.05008,0.04736,2.4611,0.06931,0.68,Increase recycled content in feedstock
Zinc,Primary - Imperial Smelting,2022,South Africa,Galvanizing,Renewable Grid,Road,97.1,0.2948,65.21,77.75,3.73,118.76,0.0084,74.79,25.1,3,3.99,52.65,0.943,Reuse,Low,0.02321,Primary,Use,0.1918,0.103,Hybrid,Closed Loop,90.49,3.1,1257,483.2,13,6.8147,No,0.01039,0.0027,1.202,0.05574,0.97,Increase recycled content in feedstock
